PART 3 XXX,,
SECTION 3C -ELECTRICAL EQUIPMENT  3C-l,, 
3C.1  230 kV GIS Combined Cycle Block Switchyard  3C-1,,
3C.l.l  General  3C-l,8,1
3C.l.2  Material, Workmanship and Design  3C-1,8,2 
3C.l.3  Service Conditions  3C-3,10,1 
3C.l.4  Codes and Standards  3C-3,10,1 

3C.1.5  Equjpment Requirements  3C-3,10,1 
